iter	MAE
0	2.405124178
1	2.329690276
2	2.264685036
3	2.213080994
4	2.16789637
5	2.113263888
6	2.068523266
7	2.024181476
8	1.987588304
9	1.956428924
10	1.927520111
11	1.896723941
12	1.869354172
13	1.84611621
14	1.825787694
15	1.808371959
16	1.790260975
17	1.777361922
18	1.761333208
19	1.74944584
20	1.737240225
21	1.72776213
22	1.72025389
23	1.712003796
24	1.704757056
25	1.694080887
26	1.688327699
27	1.679188265
28	1.672748902
29	1.666503068
30	1.660530121
31	1.654152848
32	1.649436195
33	1.643944287
34	1.640364401
35	1.631099167
36	1.62609533
37	1.62262038
38	1.619443632
39	1.615017887
40	1.612902806
41	1.607325566
42	1.602891247
43	1.600228799
44	1.595174504
45	1.590317808
46	1.588238831
47	1.584048548
48	1.580702037
49	1.57705879
50	1.57370719
51	1.571829882
52	1.570426055
53	1.568478736
54	1.56638625
55	1.563595243
56	1.562426594
57	1.559501922
58	1.557134897
59	1.555353187
60	1.553078581
61	1.551514979
62	1.549424566
63	1.546547187
64	1.545483432
65	1.542853876
66	1.540644123
67	1.539258708
68	1.537117347
69	1.535692128
70	1.533616091
71	1.531835109
72	1.530689643
73	1.529408613
74	1.528642339
75	1.526984177
76	1.525745869
77	1.524095221
78	1.522586801
79	1.520863614
80	1.519749597
81	1.519068691
82	1.5168972
83	1.515531926
84	1.514103644
85	1.512469531
86	1.511114693
87	1.509592405
88	1.508454098
89	1.507309813
90	1.505927373
91	1.504352712
92	1.503023776
93	1.500978355
94	1.499499217
95	1.498174064
96	1.496628549
97	1.495342912
98	1.493673644
99	1.492729899
100	1.49135495
101	1.489961082
102	1.488862971
103	1.486943378
104	1.485742278
105	1.483992398
106	1.482783321
107	1.481731453
108	1.480964649
109	1.479704448
110	1.478604515
111	1.47756707
112	1.476661962
113	1.475693679
114	1.474472913
115	1.473379463
116	1.471948568
117	1.470303218
118	1.469159578
119	1.468457162
120	1.466856599
121	1.465559531
122	1.464564962
123	1.463904734
124	1.462733278
125	1.462187835
126	1.461041587
127	1.459697835
128	1.459091558
129	1.4581241
130	1.456955654
131	1.45628898
132	1.455125005
133	1.45413424
134	1.45389191
135	1.453114387
136	1.45225776
137	1.45121666
138	1.450400866
139	1.449217308
140	1.447862717
141	1.446827955
142	1.445899832
143	1.445343555
144	1.444358307
145	1.443348567
146	1.442149029
147	1.440992059
148	1.439914837
149	1.439148706
150	1.437953209
151	1.437106165
152	1.43655757
153	1.435092014
154	1.434408493
155	1.433519645
156	1.432884457
157	1.432083596
158	1.431085057
159	1.430156849
160	1.429461741
161	1.42866994
162	1.427920949
163	1.427267474
164	1.426106684
165	1.425413719
166	1.424605585
167	1.423915972
168	1.423274482
169	1.422283154
170	1.421380293
171	1.420840913
172	1.420190928
173	1.419448915
174	1.418889494
175	1.417870775
176	1.41678415
177	1.415402689
178	1.414740625
179	1.414275489
180	1.413396471
181	1.412513774
182	1.411690609
183	1.41091803
184	1.410372962
185	1.409645719
186	1.408784031
187	1.408330602
188	1.407981247
189	1.406935019
190	1.406337505
191	1.405929595
192	1.404962567
193	1.404416353
194	1.403797662
195	1.403402058
196	1.402798648
197	1.402210466
198	1.401715158
199	1.401274266
200	1.400556009
201	1.399888074
202	1.399147141
203	1.398698605
204	1.398243034
205	1.397526847
206	1.396591174
207	1.396061401
208	1.395392104
209	1.394640476
210	1.393833202
211	1.393592727
212	1.392945822
213	1.392248942
214	1.391736512
215	1.39091195
216	1.38996853
217	1.389688369
218	1.389099737
219	1.388070983
220	1.387627413
221	1.387003548
222	1.386504632
223	1.386071319
224	1.385612562
225	1.385295666
226	1.384693436
227	1.384083979
228	1.383500766
229	1.382852021
230	1.382344686
231	1.38170907
232	1.380813931
233	1.380238994
234	1.379536089
235	1.378840858
236	1.378510931
237	1.378082561
238	1.377982278
239	1.377719651
240	1.377271478
241	1.376625755
242	1.376367752
243	1.375911597
244	1.375700588
245	1.3751992
246	1.374851811
247	1.374385497
248	1.373875458
249	1.373335453
250	1.373098699
251	1.372137958
252	1.371311048
253	1.370691133
254	1.370509827
255	1.369968168
256	1.369631952
257	1.369004779
258	1.368563318
259	1.368337477
260	1.367619707
261	1.367121512
262	1.366457947
263	1.365891012
264	1.365306306
265	1.364572256
266	1.364264349
267	1.363765715
268	1.363703004
269	1.363306392
270	1.362678111
271	1.362616224
272	1.361995552
273	1.361419081
274	1.360833207
275	1.360369601
276	1.359785312
277	1.359443948
278	1.358842328
279	1.358451902
280	1.358183809
281	1.357796924
282	1.357501308
283	1.357053954
284	1.356767688
285	1.356247128
286	1.355577003
287	1.355138321
288	1.354745329
289	1.35435203
290	1.353636794
291	1.35321152
292	1.352766967
293	1.352421162
294	1.352055482
295	1.351507505
296	1.351220787
297	1.350977014
298	1.350394184
299	1.349792079
300	1.349536249
301	1.34912869
302	1.348765678
303	1.34853809
304	1.34793354
305	1.347659109
306	1.34733272
307	1.346583052
308	1.346132083
309	1.345791047
310	1.345072547
311	1.344584808
312	1.344363673
313	1.344097087
314	1.34368852
315	1.343544256
316	1.342917218
317	1.342567691
318	1.342120492
319	1.3416
320	1.34107509
321	1.340368626
322	1.340029876
323	1.339697863
324	1.339418588
325	1.339063028
326	1.338619749
327	1.338050086
328	1.337388635
329	1.336821143
330	1.336092148
331	1.335538232
332	1.335213273
333	1.335057547
334	1.334961052
335	1.334575701
336	1.334246706
337	1.33394667
338	1.333537137
339	1.333148889
340	1.332602446
341	1.332219993
342	1.331831914
343	1.331451673
344	1.331015714
345	1.330536769
346	1.330387098
347	1.329797925
348	1.329172926
349	1.328907951
350	1.328454598
351	1.328087049
352	1.327462879
353	1.327181212
354	1.326625863
355	1.326156619
356	1.325688594
357	1.325216422
358	1.324884664
359	1.324583281
360	1.323967854
361	1.323677884
362	1.323321059
363	1.323015102
364	1.322509107
365	1.322371625
366	1.322259126
367	1.321968504
368	1.321626221
369	1.321364759
370	1.321144034
371	1.320684222
372	1.320056157
373	1.31972838
374	1.319553316
375	1.319119448
376	1.319048014
377	1.318566562
378	1.318159074
379	1.318095267
380	1.317803729
381	1.317361924
382	1.316904622
383	1.316767969
384	1.316635515
385	1.316041475
386	1.315692623
387	1.315531594
388	1.315136051
389	1.314989378
390	1.314718996
391	1.314538906
392	1.314257086
393	1.313788289
394	1.313265211
395	1.31284121
396	1.312713102
397	1.312354566
398	1.31209382
399	1.31179644
400	1.31164602
401	1.311368747
402	1.311071625
403	1.310584731
404	1.310122578
405	1.309595718
406	1.309179275
407	1.309021365
408	1.308690733
409	1.308567606
410	1.308320134
411	1.308003868
412	1.307815497
413	1.30734132
414	1.307030559
415	1.306762142
416	1.306047257
417	1.305428251
418	1.305251463
419	1.304831589
420	1.304642007
421	1.304256582
422	1.303954771
423	1.303148136
424	1.302832714
425	1.302439638
426	1.302332475
427	1.302176179
428	1.30187776
429	1.30172823
430	1.301404456
431	1.300980945
432	1.300487348
433	1.300238171
434	1.299854559
435	1.299589767
436	1.299219785
437	1.299158077
438	1.29868432
439	1.298315659
440	1.29795796
441	1.29775531
442	1.297595232
443	1.297086499
444	1.296810385
445	1.296628697
446	1.295844153
447	1.295590871
448	1.295361408
449	1.294757869
450	1.294556647
451	1.294385731
452	1.294162208
453	1.293932826
454	1.293727033
455	1.293383821
456	1.293134758
457	1.292850192
458	1.292680038
459	1.292565698
460	1.292321517
461	1.291935505
462	1.291842003
463	1.291272531
464	1.291004439
465	1.290643503
466	1.290331284
467	1.290226983
468	1.289848977
469	1.289649733
470	1.289487858
471	1.289256734
472	1.289048618
473	1.288870873
474	1.288422657
475	1.287578582
476	1.287404188
477	1.287154434
478	1.286645261
479	1.286028436
480	1.285752255
481	1.28523587
482	1.284952888
483	1.284555532
484	1.284134993
485	1.283906369
486	1.28329556
487	1.28275182
488	1.282465968
489	1.282229672
490	1.281881999
491	1.281534991
492	1.28122775
493	1.281039624
494	1.2805658
495	1.280222239
496	1.280144967
497	1.280091805
498	1.279963754
499	1.279806255
500	1.279462573
501	1.279161623
502	1.278750939
503	1.278387597
504	1.278165803
505	1.277843832
506	1.277517369
507	1.277071286
508	1.276910924
509	1.276649227
510	1.276393625
511	1.276277944
512	1.275987202
513	1.275627774
514	1.275393
515	1.274767966
516	1.274439703
517	1.274377855
518	1.274008596
519	1.273619667
520	1.273401062
521	1.272796993
522	1.272353505
523	1.272243168
524	1.271919142
525	1.271584137
526	1.271270064
527	1.270983184
528	1.270633503
529	1.270329425
530	1.269790526
531	1.269509161
532	1.26930827
533	1.269149686
534	1.269002344
535	1.268844314
536	1.268548104
537	1.268438558
538	1.268237454
539	1.268064312
540	1.267812874
541	1.26775285
542	1.267549222
543	1.26721007
544	1.266943632
545	1.266683655
546	1.266611686
547	1.266402587
548	1.266272729
549	1.265724724
550	1.265467814
551	1.265233213
552	1.265110735
553	1.264734022
554	1.264603391
555	1.264365971
556	1.264128924
557	1.263877433
558	1.263530646
559	1.263330676
560	1.262958675
561	1.262667613
562	1.262264126
563	1.262118301
564	1.261759115
565	1.261485448
566	1.261176958
567	1.261099951
568	1.260862822
569	1.260792472
570	1.26047999
571	1.260131511
572	1.259745819
573	1.259491035
574	1.259212998
575	1.25883753
576	1.258294512
577	1.2580772
578	1.257871555
579	1.25755845
580	1.257429588
581	1.25731764
582	1.257183599
583	1.256941895
584	1.256508901
585	1.256159252
586	1.25582422
587	1.255737035
588	1.255435746
589	1.255356619
590	1.25507182
591	1.25503563
592	1.254965993
593	1.254781952
594	1.25461454
595	1.254368468
596	1.253945343
597	1.253550859
598	1.253448355
599	1.253273602
600	1.253159572
601	1.252865229
602	1.252595708
603	1.252375454
604	1.252262069
605	1.251996604
606	1.251666178
607	1.251468203
608	1.251235451
609	1.251006394
610	1.250680242
611	1.2505581
612	1.250432165
613	1.250219102
614	1.249987694
615	1.24964712
616	1.249385125
617	1.2492209
618	1.248914128
619	1.248735308
620	1.248587674
621	1.248413551
622	1.248213131
623	1.248070189
624	1.247995792
625	1.2476617
626	1.247353683
627	1.247125672
628	1.247036611
629	1.246740556
630	1.246550035
631	1.246253365
632	1.24590319
633	1.245672861
634	1.24558237
635	1.245318856
636	1.245095221
637	1.244937504
638	1.244721189
639	1.244549136
640	1.244209255
641	1.244015403
642	1.243726039
643	1.243584846
644	1.243251514
645	1.243020288
646	1.242734551
647	1.242570866
648	1.2422526
649	1.242204523
650	1.242081628
651	1.241912012
652	1.241829184
653	1.24150431
654	1.24113538
655	1.241095479
656	1.24095985
657	1.240671486
658	1.240458269
659	1.240195204
660	1.240105131
661	1.239823475
662	1.239497519
663	1.239413807
664	1.239270644
665	1.239006187
666	1.238609735
667	1.238563088
668	1.238450997
669	1.238378549
670	1.238069628
671	1.237707269
672	1.237514691
673	1.237274693
674	1.237166219
675	1.236951932
676	1.236770456
677	1.236496379
678	1.236266351
679	1.236019223
680	1.235848405
681	1.235529248
682	1.235356291
683	1.235009614
684	1.234900008
685	1.234437574
686	1.234374798
687	1.234026544
688	1.233984076
689	1.233774563
690	1.233489972
691	1.233299814
692	1.233181239
693	1.232990851
694	1.232857184
695	1.232262854
696	1.232019327
697	1.231808993
698	1.231546342
699	1.23143398
700	1.231124726
701	1.230708713
702	1.23041793
703	1.230318125
704	1.23008263
705	1.229835007
706	1.229668473
707	1.229492479
708	1.229377503
709	1.229105107
710	1.228911774
711	1.228598181
712	1.228123095
713	1.227926669
714	1.227664182
715	1.227328559
716	1.227069219
717	1.226928736
718	1.226709392
719	1.226549093
720	1.226506152
721	1.226422226
722	1.22606858
723	1.225823425
724	1.225802177
725	1.225482198
726	1.225352045
727	1.225107834
728	1.224808186
729	1.224488162
730	1.224251858
731	1.223951537
732	1.223673554
733	1.223465227
734	1.222976229
735	1.222733717
736	1.222512532
737	1.222438809
738	1.222218554
739	1.221902257
740	1.221806574
741	1.221701419
742	1.221347357
743	1.22109989
744	1.220965289
745	1.220871339
746	1.220697306
747	1.22032512
748	1.220213288
749	1.220074859
750	1.220033225
751	1.21994185
752	1.219622765
753	1.219430323
754	1.219146301
755	1.218964654
756	1.21873014
757	1.218574502
758	1.218318738
759	1.218308372
760	1.218138693
761	1.217924795
762	1.217598857
763	1.217416358
764	1.21733304
765	1.217279597
766	1.217249804
767	1.21690035
768	1.216710201
769	1.216603513
770	1.216458138
771	1.216371116
772	1.215939477
773	1.215751913
774	1.215623888
775	1.215329487
776	1.215136804
777	1.2151151
778	1.21480364
779	1.214735662
780	1.214410502
781	1.214277066
782	1.214048161
783	1.213956529
784	1.213733159
785	1.213587982
786	1.213460677
787	1.21309512
788	1.21298835
789	1.212625213
790	1.21232466
791	1.212031569
792	1.211739755
793	1.211540622
794	1.211407257
795	1.211207379
796	1.211067446
797	1.210836638
798	1.210751273
799	1.21064689
800	1.210479259
801	1.210111606
802	1.209857416
803	1.209766911
804	1.209625374
805	1.209415398
806	1.209400159
807	1.209264615
808	1.209040621
809	1.208778527
810	1.208742915
811	1.20855356
812	1.208398865
813	1.208093018
814	1.208076472
815	1.207985987
816	1.207818249
817	1.207674052
818	1.207560874
819	1.20721918
820	1.207092951
821	1.206855131
822	1.206658394
823	1.206380374
824	1.206160237
825	1.206026091
826	1.205765847
827	1.205599547
828	1.205337026
829	1.205208012
830	1.205032565
831	1.204913495
832	1.20471943
833	1.204454432
834	1.204336221
835	1.204241339
836	1.204201423
837	1.203981717
838	1.203824414
839	1.203689792
840	1.203557171
841	1.203382077
842	1.203199727
843	1.203069612
844	1.202949074
845	1.202762373
846	1.202500548
847	1.202405678
848	1.202330187
849	1.202226315
850	1.202047023
851	1.201710439
852	1.201481287
853	1.201315905
854	1.200941315
855	1.200844802
856	1.200738661
857	1.200655379
858	1.200551293
859	1.200278895
860	1.200124305
861	1.19981605
862	1.19979583
863	1.199603675
864	1.199498925
865	1.199347175
866	1.199244456
867	1.199102518
868	1.199022786
869	1.19883236
870	1.198778133
871	1.198569764
872	1.198457655
873	1.197997446
874	1.197883873
875	1.197787607
876	1.197606762
877	1.19744689
878	1.197328979
879	1.197286121
880	1.197207271
881	1.197191576
882	1.19673346
883	1.196686893
884	1.196583136
885	1.196472284
886	1.19634499
887	1.196158098
888	1.195891681
889	1.195604469
890	1.19538851
891	1.19510487
892	1.195031263
893	1.194734595
894	1.194603034
895	1.194444383
896	1.194317256
897	1.19421574
898	1.193851103
899	1.193441618
900	1.193332375
901	1.193225086
902	1.19302583
903	1.192833078
904	1.192724413
905	1.192440241
906	1.192300518
907	1.192234336
908	1.192093503
909	1.191805438
910	1.191406876
911	1.19105658
912	1.191007649
913	1.190967537
914	1.190682759
915	1.190567836
916	1.190445779
917	1.190290966
