iter	Passed	Remaining
414	3234	4559
415	3241	4549
416	3248	4541
417	3256	4533
418	3263	4525
419	3272	4518
420	3279	4509
421	3286	4501
422	3293	4493
423	3300	4483
424	3309	4476
425	3316	4468
426	3323	4460
427	3331	4452
428	3338	4443
429	3348	4438
430	3355	4430
431	3364	4423
432	3373	4417
433	3380	4408
434	3388	4401
435	3395	4392
436	3404	4385
437	3409	4374
438	3416	4365
439	3424	4358
440	3431	4349
441	3438	4340
442	3445	4332
443	3453	4324
444	3460	4316
445	3467	4307
446	3477	4302
447	3485	4294
448	3493	4287
449	3501	4279
450	3509	4271
451	3516	4263
452	3523	4254
453	3530	4245
454	3538	4238
455	3546	4231
456	3554	4223
457	3561	4215
458	3569	4206
459	3576	4198
460	3584	4190
461	3593	4184
462	3603	4178
463	3610	4170
464	3618	4162
465	3626	4155
466	3634	4148
467	3641	4139
468	3651	4133
469	3658	4125
470	3666	4118
471	3676	4112
472	3685	4106
473	3695	4101
474	3703	4093
475	3711	4086
476	3719	4078
477	3727	4071
478	3736	4063
479	3744	4056
480	3752	4049
481	3761	4042
482	3768	4034
483	3777	4027
484	3786	4020
485	3795	4014
486	3804	4007
487	3812	4000
488	3821	3993
489	3830	3987
490	3838	3979
491	3846	3971
492	3854	3963
493	3861	3955
494	3869	3947
495	3877	3940
496	3885	3932
497	3892	3923
498	3899	3915
499	3908	3908
500	3915	3899
501	3922	3891
502	3930	3883
503	3937	3875
504	3944	3866
505	3952	3858
506	3960	3850
507	3968	3843
508	3976	3835
509	3984	3828
510	3991	3819
511	3999	3812
512	4006	3803
513	4015	3796
514	4023	3789
515	4032	3781
516	4039	3773
517	4047	3765
518	4055	3758
519	4063	3751
520	4070	3742
521	4078	3734
522	4086	3726
523	4095	3720
524	4104	3713
525	4112	3705
526	4119	3697
527	4127	3689
528	4135	3682
529	4143	3674
530	4152	3667
531	4159	3659
532	4166	3650
533	4172	3641
534	4180	3633
535	4187	3625
536	4198	3619
537	4206	3612
538	4213	3603
539	4220	3595
540	4228	3587
541	4235	3579
542	4243	3571
543	4251	3564
544	4260	3557
545	4269	3549
546	4277	3542
547	4284	3534
548	4291	3525
549	4300	3518
550	4307	3510
551	4314	3501
552	4320	3492
553	4327	3484
554	4336	3476
555	4344	3469
556	4353	3462
557	4360	3453
