iter	Passed	Remaining
419	2393	3305
420	2399	3300
421	2405	3294
422	2411	3288
423	2416	3283
424	2422	3277
425	2427	3271
426	2436	3269
427	2442	3263
428	2449	3259
429	2454	3253
430	2459	3247
431	2465	3241
432	2470	3234
433	2475	3228
434	2479	3220
435	2483	3212
436	2489	3207
437	2493	3200
438	2499	3193
439	2504	3187
440	2509	3181
441	2515	3175
442	2521	3169
443	2526	3163
444	2531	3157
445	2536	3151
446	2542	3145
447	2548	3139
448	2552	3132
449	2557	3125
450	2563	3120
451	2568	3113
452	2573	3107
453	2579	3102
454	2585	3096
455	2591	3091
456	2596	3085
457	2602	3079
458	2607	3072
459	2612	3067
460	2617	3060
461	2623	3054
462	2629	3049
463	2636	3045
464	2641	3039
465	2646	3032
466	2651	3026
467	2657	3020
468	2663	3015
469	2668	3009
470	2674	3003
471	2679	2997
472	2684	2991
473	2697	2993
474	2703	2988
475	2709	2982
476	2715	2977
477	2722	2972
478	2728	2967
479	2735	2963
480	2741	2958
481	2747	2952
482	2753	2946
483	2758	2940
484	2762	2933
485	2768	2928
486	2774	2922
487	2780	2916
488	2785	2910
489	2791	2905
490	2797	2899
491	2802	2893
492	2808	2887
493	2812	2880
494	2817	2874
495	2823	2869
496	2828	2862
497	2833	2856
498	2838	2849
499	2843	2843
500	2848	2837
501	2854	2831
502	2861	2826
503	2866	2821
504	2871	2814
505	2877	2808
506	2883	2803
507	2888	2797
508	2894	2792
509	2900	2786
510	2906	2781
511	2912	2776
512	2917	2769
513	2923	2764
514	2929	2758
515	2934	2752
516	2949	2755
517	2956	2750
518	2960	2744
519	2965	2737
520	2971	2732
521	2977	2726
522	2983	2720
523	2988	2714
524	2994	2709
525	2999	2702
526	3006	2698
527	3011	2692
528	3016	2685
529	3022	2679
530	3027	2673
531	3033	2668
532	3039	2662
533	3044	2656
534	3049	2650
535	3055	2645
536	3061	2639
537	3066	2632
538	3071	2627
539	3077	2621
540	3083	2616
541	3089	2611
542	3095	2605
543	3101	2599
544	3106	2593
545	3112	2587
546	3117	2582
547	3122	2575
548	3128	2570
549	3135	2565
550	3140	2559
551	3145	2553
552	3151	2547
553	3156	2541
554	3162	2535
555	3168	2530
556	3174	2524
557	3180	2518
558	3185	2513
559	3191	2507
560	3203	2507
561	3209	2501
562	3217	2497
563	3224	2492
564	3232	2488
565	3238	2482
566	3243	2477
567	3248	2470
568	3254	2465
569	3259	2459
570	3265	2453
571	3271	2447
572	3277	2442
573	3283	2437
574	3289	2431
575	3295	2425
576	3300	2419
577	3306	2413
578	3312	2408
579	3317	2402
580	3323	2396
581	3329	2391
582	3335	2385
583	3341	2380
584	3347	2374
585	3353	2369
586	3359	2363
587	3364	2357
588	3370	2351
589	3376	2346
590	3381	2340
591	3386	2333
592	3392	2328
593	3397	2322
594	3403	2316
595	3408	2310
596	3413	2304
597	3419	2298
598	3424	2292
599	3430	2286
600	3435	2281
601	3441	2275
602	3446	2268
603	3451	2262
604	3456	2256
605	3462	2251
606	3467	2245
607	3474	2240
608	3481	2235
609	3487	2229
610	3490	2222
611	3496	2216
612	3502	2211
613	3507	2205
614	3513	2199
615	3518	2193
616	3524	2187
617	3529	2181
618	3534	2175
619	3539	2169
620	3545	2163
621	3550	2157
622	3556	2152
623	3561	2146
624	3568	2140
625	3573	2135
626	3579	2129
627	3585	2123
628	3591	2118
629	3596	2112
630	3602	2106
631	3607	2100
632	3613	2094
633	3618	2089
634	3624	2083
635	3629	2077
636	3634	2071
637	3640	2065
638	3645	2059
639	3650	2053
640	3655	2047
641	3660	2041
642	3666	2035
643	3672	2030
644	3677	2024
645	3683	2018
646	3690	2013
647	3695	2007
648	3703	2003
649	3710	1998
650	3720	1994
651	3726	1989
652	3733	1983
653	3739	1978
654	3745	1972
655	3750	1966
656	3756	1961
657	3762	1955
658	3768	1950
659	3774	1944
660	3779	1938
661	3784	1932
662	3790	1926
663	3795	1920
664	3802	1915
665	3807	1909
666	3813	1904
667	3819	1898
668	3825	1892
669	3831	1887
670	3837	1881
671	3842	1875
672	3848	1869
673	3854	1864
674	3861	1859
675	3866	1853
676	3872	1847
677	3877	1841
678	3882	1835
679	3887	1829
680	3893	1823
681	3899	1818
682	3905	1812
683	3918	1810
684	3937	1810
685	3942	1804
686	3948	1798
687	3953	1792
688	3959	1787
689	3967	1782
690	3971	1775
691	3977	1770
692	3983	1764
693	3989	1759
694	3995	1753
695	4001	1747
696	4006	1741
697	4012	1735
698	4017	1730
699	4023	1724
700	4029	1718
701	4033	1712
702	4039	1706
703	4045	1700
704	4050	1694
705	4054	1688
706	4059	1682
707	4065	1676
708	4071	1671
709	4076	1665
710	4082	1659
711	4088	1653
712	4094	1648
713	4100	1642
714	4105	1636
715	4112	1631
716	4117	1625
717	4123	1619
718	4129	1614
719	4135	1608
720	4140	1602
721	4146	1596
722	4152	1590
723	4158	1585
724	4163	1579
725	4169	1573
726	4174	1567
727	4180	1561
728	4185	1556
729	4192	1550
730	4198	1544
731	4203	1539
732	4215	1535
733	4221	1529
734	4228	1524
735	4234	1519
736	4241	1513
737	4247	1507
738	4252	1501
739	4259	1496
740	4265	1490
741	4270	1484
742	4276	1479
743	4281	1473
744	4287	1467
745	4292	1461
746	4297	1455
747	4303	1449
748	4309	1444
749	4314	1438
750	4319	1432
751	4325	1426
752	4330	1420
753	4336	1414
754	4342	1409
755	4347	1403
756	4353	1397
757	4358	1391
758	4363	1385
759	4369	1379
760	4375	1374
761	4380	1368
762	4385	1362
763	4391	1356
764	4396	1350
765	4401	1344
766	4407	1338
767	4412	1332
768	4418	1327
769	4423	1321
770	4429	1315
771	4435	1309
772	4440	1303
773	4445	1297
774	4450	1291
775	4455	1286
776	4467	1282
777	4474	1276
778	4479	1270
779	4485	1265
780	4490	1259
781	4495	1253
782	4500	1247
783	4504	1241
784	4510	1235
785	4516	1229
786	4521	1223
787	4526	1217
788	4531	1211
789	4536	1205
790	4541	1199
791	4547	1194
792	4552	1188
793	4557	1182
794	4563	1176
795	4568	1170
796	4573	1164
797	4579	1159
798	4585	1153
799	4590	1147
800	4595	1141
801	4600	1135
802	4606	1130
803	4611	1124
804	4617	1118
805	4623	1112
806	4629	1107
807	4634	1101
808	4640	1095
809	4646	1089
810	4651	1084
811	4655	1077
812	4662	1072
813	4668	1066
814	4674	1061
815	4680	1055
816	4685	1049
817	4691	1043
818	4696	1037
819	4701	1032
820	4708	1026
821	4724	1023
822	4730	1017
823	4736	1011
824	4743	1006
825	4748	1000
826	4754	994
827	4759	988
828	4766	983
829	4770	977
830	4776	971
831	4781	965
832	4786	959
833	4792	953
834	4798	948
835	4804	942
836	4809	936
837	4815	930
838	4820	924
839	4825	919
840	4831	913
841	4836	907
842	4841	901
843	4846	895
844	4852	890
845	4857	884
846	4863	878
847	4867	872
848	4872	866
849	4878	860
850	4884	855
851	4889	849
852	4894	843
853	4899	837
854	4904	831
855	4910	826
856	4915	820
857	4921	814
858	4924	808
859	4929	802
860	4935	796
861	4940	790
862	4946	785
863	4952	779
864	4957	773
865	4963	767
866	4968	762
867	4980	757
868	4986	751
869	4992	745
870	4997	740
871	5001	734
872	5007	728
873	5012	722
874	5017	716
875	5022	710
876	5027	705
877	5033	699
878	5038	693
879	5044	687
880	5049	681
881	5054	676
882	5059	670
883	5065	664
884	5070	658
885	5076	653
886	5082	647
887	5088	641
888	5093	636
889	5099	630
890	5105	624
891	5111	618
892	5117	613
893	5122	607
894	5127	601
895	5133	595
896	5139	590
897	5144	584
898	5148	578
899	5154	572
900	5158	566
901	5164	561
902	5170	555
903	5176	549
904	5182	543
905	5187	538
906	5192	532
907	5198	526
908	5205	521
909	5211	515
910	5217	509
911	5224	504
912	5232	498
913	5237	492
914	5243	487
915	5249	481
916	5255	475
917	5260	469
918	5265	464
919	5270	458
920	5276	452
921	5282	446
922	5288	441
923	5294	435
924	5299	429
925	5304	423
926	5309	418
927	5315	412
928	5320	406
929	5326	400
930	5331	395
931	5336	389
932	5342	383
933	5348	377
934	5353	372
935	5358	366
936	5364	360
937	5369	354
938	5375	349
939	5380	343
940	5385	337
941	5391	331
942	5396	326
943	5401	320
944	5406	314
945	5412	308
946	5417	303
947	5421	297
948	5426	291
949	5432	285
950	5436	280
951	5441	274
952	5447	268
953	5453	262
954	5457	257
955	5463	251
956	5468	245
957	5474	239
958	5478	234
959	5482	228
960	5488	222
961	5494	217
962	5499	211
963	5505	205
964	5510	199
965	5515	194
966	5521	188
967	5527	182
968	5531	176
969	5535	171
970	5541	165
971	5547	159
972	5552	154
973	5558	148
974	5563	142
975	5568	136
976	5574	131
977	5579	125
978	5585	119
979	5590	114
980	5596	108
981	5601	102
982	5606	96
983	5611	91
984	5616	85
985	5621	79
986	5627	74
987	5632	68
988	5637	62
989	5643	57
