iter	RMSE
0	2.783096779
1	2.714841096
2	2.651913446
3	2.603659482
4	2.562229223
5	2.51562928
6	2.471154837
7	2.435598756
8	2.404639694
9	2.374909091
10	2.351332974
11	2.328036939
12	2.303588784
13	2.283677443
14	2.263209748
15	2.243870484
16	2.225405406
17	2.213037426
18	2.198901663
19	2.185271754
20	2.170726422
21	2.16155992
22	2.149442113
23	2.138165234
24	2.128351424
25	2.119573595
26	2.112300676
27	2.105324789
28	2.096832706
29	2.089880077
30	2.084684156
31	2.079578814
32	2.072365498
33	2.065004001
34	2.057638831
35	2.052763576
36	2.048505329
37	2.044887172
38	2.039986921
39	2.035193904
40	2.030569298
41	2.02531695
42	2.020677954
43	2.013536679
44	2.009878207
45	2.006370772
46	2.003341547
47	1.998873982
48	1.994989414
49	1.992529194
50	1.990019611
51	1.986381201
52	1.984820473
53	1.9814692
54	1.978667656
55	1.975320729
56	1.973555278
57	1.969531295
58	1.967657035
59	1.965514123
60	1.964526091
61	1.960465165
62	1.957803085
63	1.956298253
64	1.954430858
65	1.951988274
66	1.949604037
67	1.947862367
68	1.946296495
69	1.944072206
70	1.941664218
71	1.940198601
72	1.938155914
73	1.935740292
74	1.934623307
75	1.933379489
76	1.931328619
77	1.929276301
78	1.927547599
79	1.926254652
80	1.924896799
81	1.923392776
82	1.92180457
83	1.920788922
84	1.919781448
85	1.918481039
86	1.916973325
87	1.91527464
88	1.913736729
89	1.91235107
90	1.910696008
91	1.90870518
92	1.907501106
93	1.906534746
94	1.905428658
95	1.904267451
96	1.902949648
97	1.902069601
98	1.901004797
99	1.899581167
100	1.898849852
101	1.897971425
102	1.89659099
103	1.895560728
104	1.894371851
105	1.89340761
106	1.891419568
107	1.89006872
108	1.8886361
109	1.887025719
110	1.885795187
111	1.884511759
112	1.883120666
113	1.882320567
114	1.881043895
115	1.87960796
116	1.878574514
117	1.87755444
118	1.876506135
119	1.875666677
120	1.874459825
121	1.872876914
122	1.871431505
123	1.870240763
124	1.86910181
125	1.868159712
126	1.866991393
127	1.865791424
128	1.865151302
129	1.864136016
130	1.862987994
131	1.861881766
132	1.8608332
133	1.859357472
134	1.857879725
135	1.857043656
136	1.856079602
137	1.854830826
138	1.853495266
139	1.852350746
140	1.851160155
141	1.850130924
142	1.849002521
143	1.847959524
144	1.846648099
145	1.845846748
146	1.844905753
147	1.843967071
148	1.843332565
149	1.842172688
150	1.841033102
151	1.840538632
152	1.83980647
153	1.83859973
154	1.837137152
155	1.836315051
156	1.835800502
157	1.834907335
158	1.834205739
159	1.833681128
160	1.832463805
161	1.831513309
162	1.830667698
163	1.829743492
164	1.82898689
165	1.827973387
166	1.826987947
167	1.825854495
168	1.824985825
169	1.823933044
170	1.823435787
171	1.822477035
172	1.821329831
173	1.820778719
174	1.819839053
175	1.819580501
176	1.818910227
177	1.818111558
178	1.817164675
179	1.816241248
180	1.815856715
181	1.815091252
182	1.814212452
183	1.813589366
184	1.812882293
185	1.812228668
186	1.811667166
187	1.810683358
188	1.809779065
189	1.80911103
190	1.80875331
191	1.808058321
192	1.807185365
193	1.806426637
194	1.805570752
195	1.804755396
196	1.803868924
197	1.802840545
198	1.801519146
199	1.801149707
200	1.800551332
201	1.800012373
202	1.799488773
203	1.79903428
204	1.79810243
205	1.797735508
206	1.796671549
207	1.79595399
208	1.795362455
209	1.794465887
210	1.793749524
211	1.793386
212	1.79280959
213	1.792245416
214	1.791902477
215	1.791148094
216	1.790389605
217	1.789596712
218	1.788790419
219	1.788182571
220	1.787058239
221	1.786591775
222	1.786349436
223	1.785530108
224	1.785165417
225	1.784494702
226	1.783972575
227	1.783615814
228	1.782618508
